Country Rank,Country / Territory,CPI 2011 Score,Country Rank.1,Surveys Used,Standard Deviation,Maximum score,Minimum score,90% Confidence Interval (Lower bound),90% Confidence Interval (Higher bound),AFDB,ADB,BF_SGI,BF_TI,EIU_CRR,FH_NIT,GI_CRR,IMD2010,IMD2011,PERC2010,PERC2011,PRS_ICRG,TI_BPI,WB_CPIA,WEF2010,WEF2011,WJP_ROL
54,Hungary,4.555448,54,11.0,0.414576,7.063669,2.263147,3.866152,5.238242,,,4.631373,5.444675,7.063669,4.512837,5.771078,2.263147,3.451927,,,5.207054,5.38742,,2.590103,3.786644,
54,Kuwait,4.616031,54,6.0,0.6554432,7.530872,2.56624,3.575472,5.745298,,,,2.56624,3.189486,,7.530872,,,,,5.207054,,,4.73433,4.468203,
56,Jordan,4.485752,56,9.0,0.285503,5.544832,3.089837,3.999779,4.942109,,,,3.089837,3.189486,,4.422241,5.50864,5.544832,,,5.207054,,,4.478443,4.772294,4.158941
57,Czech Republic,4.368084,57,12.0,0.2892301,5.771078,2.299972,3.868216,4.8152,,,4.631373,5.444675,5.057702,5.223387,5.771078,3.857852,4.511918,,,3.679111,4.454003,,2.299972,2.804591,4.681344
57,Namibia,4.42965,57,7.0,0.2999364,5.771078,3.189486,3.938588,4.92084,3.691197,,,4.343517,3.189486,,5.771078,,,,,5.207054,,,4.454003,4.351213,
57,Saudi Arabia,4.386654,57,5.0,0.8622078,8.076194,2.56624,3.160014,5.996861,,,,2.56624,3.189486,,4.422241,,,,,3.679111,,,8.076194,,
60,Malaysia,4.307416,60,12.0,0.3088482,6.322278,2.655763,3.799985,4.818566,,,,4.581388,3.189486,,3.301163,6.322278,5.50864,3.461776,4.454003,3.679111,2.655763,,4.681344,5.695103,4.158941
61,Cuba,4.163939,61,4.0,0.4903372,5.207054,3.089837,3.248332,5.09504,,,,3.089837,5.057702,,3.301163,,,,,5.207054,,,,,
61,Latvia,4.1943,61,7.0,0.2983202,5.057702,2.558819,3.676429,4.64995,,,,4.581388,5.057702,4.512837,4.422241,,,,,2.558819,,,3.54577,4.681344,
61,Turkey,4.206861,61,11.0,0.2214737,5.38742,3.189486,3.842314,4.566609,,,4.631373,4.581388,3.189486,,4.422241,5.38742,5.059172,,,3.679111,4.73433,,3.258844,4.099502,3.232607
64,Georgia,4.132969,64,7.0,0.4275805,6.015728,2.594364,3.457199,4.852613,,3.641587,,4.343517,,3.441543,2.594364,,,,,,,3.385403,5.50864,6.015728,
64,South Africa,4.080277,64,11.0,0.2060129,5.207054,3.188954,3.751566,4.433539,4.778676,,,3.85284,5.057702,,3.301163,4.351213,3.461776,,,5.207054,3.188954,,3.519914,4.357177,3.806581
66,Croatia,4.034245,66,10.0,0.2125861,5.207054,3.414173,3.697591,4.396039,,,,4.581388,5.057702,3.665577,4.422241,3.453649,3.414173,,,5.207054,,,3.642444,3.444569,3.453649
66,Montenegro,3.969978,66,5.0,0.5045474,5.507146,2.594364,3.125735,4.840263,,,,3.516655,,3.172552,2.594364,,,,,,,,5.507146,5.059172,
66,Slovakia,3.971617,66,10.0,0.3604174,5.771078,1.937667,3.391749,4.578434,,,3.899607,5.444675,5.057702,4.512837,5.771078,3.452058,3.050517,,,3.679111,,,1.937667,2.910913,
69,Ghana,3.85076,69,10.0,0.2849953,5.057702,2.282783,3.371998,4.315577,4.778676,,,4.343517,5.057702,,4.422241,,,,,3.679111,2.282783,4.694899,2.60653,3.453649,3.188493
69,Italy,3.906913,69,9.0,0.1948821,4.784618,3.189486,3.594722,4.235236,,,3.899607,,3.189486,,3.301163,4.478443,4.73433,,,3.679111,,,3.453649,3.641807,4.784618
69,FYR Macedonia,3.942666,69,6.0,0.209125,4.454003,3.189486,3.57644,4.269391,,,,4.343517,3.189486,4.010651,3.301163,,,,,,,,4.357177,4.454003,
69,Samoa,3.879217,69,3.0,0.3457871,4.694899,3.301163,3.414638,4.343795,,3.641587,,,,,3.301163,,,,,,,4.694899,,,
73,Brazil,3.77411,73,10.0,0.2420161,5.207054,2.804591,3.399229,4.19552,,,,4.903588,3.189486,,3.301163,2.804591,3.594368,,,5.207054,3.451927,,3.451927,3.325074,4.511918
73,Tunisia,3.759299,73,7.0,0.6704753,7.967392,2.236539,2.834091,5.057043,2.366238,,,2.236539,3.189486,,3.301163,,,,,3.679111,,,7.967392,3.575164,
75,China,3.635573,75,12.0,0.2606245,5.38742,2.236539,3.212505,4.08043,,,,2.236539,3.189486,,2.594364,3.642444,3.452058,4.454003,3.461776,2.558819,4.681344,,5.38742,4.27927,3.689353
75,Romania,3.612146,75,10.0,0.1653246,4.903588,2.811316,3.362442,3.905237,,,,4.903588,3.189486,4.010651,3.301163,3.414173,3.594368,,,3.679111,,,3.575164,2.811316,3.642444
77,Gambia,3.511906,77,6.0,0.6490144,5.695103,1.776226,2.450254,4.619687,1.776226,,,,,,2.594364,,,,,3.679111,,1.817989,5.695103,5.50864,
77,Lesotho,3.516105,77,6.0,0.440742,5.771078,2.28617,2.881567,4.327338,2.97922,,,3.516655,,,5.771078,,,,,,,3.385403,2.28617,3.158106,
77,Vanuatu,3.529686,77,3.0,0.9242341,5.771078,2.117112,2.311698,4.747675,,2.117112,,,,,5.771078,,,,,,,2.700869,,,
80,Colombia,3.446674,80,9.0,0.285852,5.207054,2.513028,3.003801,3.938504,,,,3.089837,3.189486,,3.301163,3.050517,4.681344,,,5.207054,,,2.52586,2.513028,3.461776
80,El Salvador,3.424892,80,7.0,0.1037423,3.85284,2.988145,3.255099,3.5961,,,,3.85284,3.189486,,3.301163,,,,,3.679111,,,3.441543,2.988145,3.521953
80,Greece,3.388967,80,8.0,0.26263,4.454003,2.558819,2.963418,3.824601,,,3.899607,,3.189486,,4.422241,4.454003,3.453649,,,2.558819,,,2.566966,2.566966,
80,Morocco,3.443408,80,8.0,0.3727528,5.207054,2.234744,2.850432,4.076752,2.97922,,,2.236539,3.189486,,4.422241,,,,,5.207054,2.777077,,4.500907,,2.234744
80,Peru,3.385607,80,9.0,0.1603448,4.099502,2.362608,3.111851,3.638171,,,,3.85284,3.189486,,3.301163,3.54577,4.099502,,,3.679111,,,2.362608,3.461776,2.978202
80,Thailand,3.381004,80,11.0,0.1457796,4.099502,2.558819,3.139943,3.622537,,,,3.85284,3.189486,,3.301163,4.099502,3.935257,2.655763,3.188954,2.558819,,,3.158106,3.444569,3.806581
86,Bulgaria,3.328966,86,10.0,0.2680971,5.444675,2.263147,2.923759,3.801758,,,,5.444675,3.189486,4.010651,3.301163,3.188954,2.263147,,,2.558819,,,3.461776,3.218528,2.65246
86,Jamaica,3.341237,86,7.0,0.1754407,4.158941,2.558819,3.057192,3.63367,,,,3.089837,3.189486,,3.301163,,,,,2.558819,,,3.401058,3.689353,4.158941
86,Panama,3.266199,86,6.0,0.2280886,4.422241,2.558819,2.93294,3.677591,,,,3.089837,3.189486,,4.422241,,,,,2.558819,,,3.050517,3.286297,
86,Serbia,3.312795,86,7.0,0.1957068,4.343517,2.558819,3.005779,3.646888,,,,4.343517,3.189486,3.665577,3.301163,,,,,2.558819,,,3.065501,3.065501,
86,Sri Lanka,3.295176,86,8.0,0.2335501,4.351213,2.117112,2.908844,3.677001,,2.117112,,3.089837,3.189486,,3.301163,,,,,3.679111,,2.700869,4.351213,3.932618,
91,Bosnia and Herzegovina,3.207211,91,6.0,0.1187956,3.54577,2.700869,3.011865,3.398852,,,,3.516655,3.189486,3.54577,3.301163,,,,,,,2.700869,2.989319,,
91,Liberia,3.188795,91,6.0,0.344483,4.357177,1.948407,2.613089,3.771048,4.357177,,,3.85284,,,2.594364,,,,,3.679111,,2.700869,,,1.948407
91,Trinidad and Tobago,3.170273,91,5.0,0.3223454,4.422241,2.355744,2.671455,3.736823,,,,,3.189486,,4.422241,,,,,2.558819,,,2.355744,3.325074,
91,Zambia,3.195245,91,8.0,0.313396,5.207054,2.154731,2.725567,3.752207,3.691197,,,2.56624,3.189486,,2.594364,,,,,5.207054,,2.154731,2.833813,3.325074,
95,Albania,3.052946,95,8.0,0.183317,3.96722,2.299972,2.755025,3.360783,,,,3.089837,3.189486,3.172552,2.594364,,,,,2.558819,,,3.96722,3.55132,2.299972
95,India,3.099087,95,13.0,0.1171536,3.85284,2.558819,2.907966,3.292373,,,,3.85284,3.189486,,2.594364,3.461776,2.655763,3.451927,3.451927,2.558819,3.320134,3.385403,3.114725,2.660661,2.590307
95,Kiribati,3.080074,95,3.0,0.5638683,4.422241,2.117112,2.311698,3.848451,,2.117112,,,,,4.422241,,,,,,,2.700869,,,
95,Swaziland,3.081774,95,5.0,0.0815429,3.301163,2.777077,2.940416,3.214439,2.97922,,,,3.189486,,3.301163,,,,,,,,3.161921,2.777077,
95,Tonga,3.139194,95,3.0,0.1681941,3.385403,2.731017,2.921066,3.357323,,2.731017,,,,,3.301163,,,,,,,3.385403,,,
100,Argentina,2.996074,100,10.0,0.2071715,3.679111,1.571689,2.644734,3.323044,,,,3.516655,3.189486,,2.594364,3.451927,3.188954,,,3.679111,3.642444,,1.571689,2.147911,2.978202
100,Benin,2.96985,100,7.0,0.1756939,3.691197,2.325631,2.688076,3.264183,3.691197,,,3.089837,3.189486,,2.594364,,,,,,,3.385403,2.325631,2.513028,
100,Burkina Faso,3.046324,100,7.0,0.3142995,4.778676,2.026212,2.563982,3.581281,4.778676,,,2.026212,,,2.594364,,,,,2.558819,,3.385403,3.320134,2.660661,
100,Djibouti,2.98107,100,3.0,0.5912157,4.422241,2.154731,2.225233,3.736907,2.366238,,,,,,4.422241,,,,,,,2.154731,,,
100,Gabon,2.983002,100,4.0,0.2875232,3.679111,2.084189,2.531705,3.434299,2.97922,,,,3.189486,,2.084189,,,,,3.679111,,,,,
100,Indonesia,3.02781,100,12.0,0.2675806,5.207054,1.876116,2.614758,3.49726,,,,2.56624,1.876116,,2.594364,3.857852,2.804655,2.263147,2.263147,5.207054,2.804591,,4.28454,2.833813,2.978202
100,Madagascar,3.040804,100,7.0,0.4011724,5.207054,1.776226,2.408314,3.726477,1.776226,,,3.089837,,,3.301163,,,,,5.207054,,2.154731,3.452058,2.304561,
100,Malawi,3.002285,100,8.0,0.179905,3.85284,2.084189,2.703368,3.298093,2.97922,,,3.85284,3.189486,,2.084189,,,,,2.558819,,2.700869,3.414173,3.238683,
100,Mexico,2.970855,100,11.0,0.1308167,3.679111,2.263147,2.756226,3.188836,,,3.050517,2.56624,3.189486,,3.301163,2.804655,3.54577,,,3.679111,2.263147,,2.684211,3.12722,2.467885
100,Sao Tome & Principe,2.986329,100,3.0,0.1877812,3.385403,2.594364,2.72265,3.250009,2.97922,,,,,,2.594364,,,,,,,3.385403,,,
100,Suriname,3.0286,100,3.0,0.3729722,3.932618,2.558819,2.570667,3.486533,,,,,,,2.594364,,,,,2.558819,,,,3.932618,
100,Tanzania,2.950526,100,8.0,0.1822839,3.679111,2.084189,2.631871,3.237943,2.97922,,,3.089837,3.189486,,2.084189,,,,,3.679111,,2.154731,3.188954,3.238683,
112,Algeria,2.904377,112,7.0,0.1567943,3.301163,2.04175,2.625176,3.142135,2.97922,,,3.089837,3.189486,,3.301163,,,,,2.558819,,,3.170365,2.04175,
112,Egypt,2.862187,112,7.0,0.2087864,4.099502,2.366238,2.551994,3.235781,2.366238,,,2.56624,3.189486,,2.594364,,,,,2.558819,,,4.099502,2.660661,
112,Kosovo,2.851413,112,3.0,0.0987123,3.089837,2.700869,2.721757,2.981068,,,,3.089837,,2.763531,,,,,,,,2.700869,,,
112,Moldova,2.878946,112,8.0,0.1309165,3.516655,2.464046,2.669806,3.099379,,,,3.516655,3.189486,2.464046,3.301163,,,,,2.558819,,2.700869,2.590307,2.710225,
112,Senegal,2.870529,112,10.0,0.1544795,3.935257,2.084189,2.624653,3.132568,2.97922,,,2.56624,3.189486,,2.084189,,,,,2.558819,3.050517,2.700869,3.935257,2.408084,3.232607
112,Vietnam,2.864383,112,11.0,0.1741907,3.679111,1.876116,2.57168,3.146028,,3.641587,,2.236539,1.876116,,2.084189,,,3.188954,2.655763,3.679111,,2.700869,3.180183,2.988145,3.276754
118,Bolivia,2.763231,118,7.0,0.1805967,3.385403,1.995889,2.461277,3.055748,,,,3.089837,,,3.301163,,,,,2.558819,,3.385403,2.655763,2.355744,1.995889
118,Mali,2.758701,118,7.0,0.2045865,3.385403,1.891732,2.409402,3.084975,2.97922,,,3.089837,,,3.301163,,,,,2.558819,,3.385403,1.891732,2.104733,
120,Bangladesh,2.656912,120,9.0,0.3447991,5.207054,1.876116,2.147122,3.269577,,3.641587,,2.236539,1.876116,,2.084189,,,,,5.207054,,2.700869,1.938191,1.992919,2.234744
120,Ecuador,2.650216,120,6.0,0.2153588,3.679111,1.876116,2.344863,3.011632,,,,2.56624,1.876116,,2.594364,,,,,3.679111,,,2.595361,2.590103,
120,Ethiopia,2.690912,120,9.0,0.1817961,3.641807,2.026212,2.397866,2.994646,2.366238,,,2.026212,3.189486,,2.084189,,,,,2.558819,,2.154731,3.641807,3.218528,2.978202
120,Guatemala,2.727781,120,7.0,0.1940396,3.516655,2.084189,2.403964,3.051294,,,,3.516655,3.189486,,2.084189,,,,,2.558819,,,2.219204,2.34593,3.180183
120,Iran,2.720371,120,7.0,0.3532483,4.27927,1.876116,2.159345,3.321311,,,,1.885931,1.876116,,2.084189,,,,,1.950985,,,3.689353,4.27927,3.276754
120,Kazakhstan,2.693975,120,9.0,0.3668375,4.784618,1.50348,2.128261,3.33662,,,,2.236539,1.876116,1.922519,1.50348,4.784618,4.454003,,,1.950985,,,2.539317,,2.978202
120,Mongolia,2.676712,120,8.0,0.1336771,3.301163,2.113435,2.461945,2.899315,,2.731017,,2.56624,3.189486,,3.301163,,,,,2.558819,,2.700869,2.113435,2.252666,
120,Mozambique,2.687722,120,8.0,0.1637754,3.55132,2.00972,2.428919,2.963591,2.00972,,,2.236539,3.189486,,2.594364,,,,,2.558819,,2.700869,3.55132,2.660661,
120,Solomon Islands,2.706382,120,3.0,0.2783245,3.301163,2.117112,2.311698,3.101065,,2.117112,,,,,3.301163,,,,,,,2.700869,,,
129,Armenia,2.628996,129,8.0,0.1602818,3.516655,1.950985,2.372672,2.905912,,2.117112,,3.516655,,2.811316,2.594364,,,,,1.950985,,2.700869,2.429752,2.910913,
129,Dominican Republic,2.589769,129,7.0,0.1879518,3.301163,1.839337,2.280626,2.888697,,,,2.56624,3.189486,,3.301163,,,,,2.558819,,,1.839337,2.02088,2.65246
129,Honduras,2.591903,129,7.0,0.1876747,3.54577,1.876116,2.295008,2.918522,,,,2.56624,1.876116,,2.084189,,,,,2.558819,,2.700869,2.811316,3.54577,
129,Philippines,2.644299,129,12.0,0.1854465,4.078753,1.839337,2.353281,2.969054,,,,3.089837,1.876116,,2.594364,1.839337,2.804591,2.590307,2.590307,2.558819,4.078753,,1.901029,2.28617,3.521953
129,Syria,2.557818,129,6.0,0.1597282,3.189486,1.885931,2.302364,2.81951,,,,1.885931,3.189486,,2.594364,,,,,2.558819,,,2.710225,2.408084,
134,Cameroon,2.452247,134,9.0,0.1898157,3.679111,1.876116,2.154533,2.779615,2.97922,,,2.236539,1.876116,,2.084189,,,,,3.679111,,2.154731,2.90662,2.252666,1.901029
134,Eritrea,2.475597,134,4.0,0.5560505,4.422241,1.776226,1.803652,3.154086,1.776226,,,1.885931,,,4.422241,,,,,,,1.817989,,,
134,Guyana,2.487627,134,5.0,0.1018409,2.804591,2.154731,2.316366,2.664237,,,,,,,2.594364,,,,,2.558819,,2.154731,2.804591,2.325631,
134,Lebanon,2.486844,134,7.0,0.1468396,3.189486,2.026212,2.261326,2.738043,,,,2.026212,3.189486,,2.594364,,,,,2.558819,,,2.04913,2.212817,2.777077
134,Maldives,2.470782,134,3.0,0.1469819,2.700869,2.117112,2.276196,2.665368,,2.117112,,,,,2.594364,,,,,,,2.700869,,,
134,Nicaragua,2.529546,134,7.0,0.2080919,3.679111,1.876116,2.211424,2.893844,,,,2.236539,1.876116,,2.594364,,,,,3.679111,,2.154731,2.86599,2.299972,
134,Niger,2.540459,134,5.0,0.1687389,3.089837,1.950985,2.261806,2.813854,2.366238,,,3.089837,,,2.594364,,,,,1.950985,,2.700869,,,
134,Pakistan,2.467952,134,10.0,0.1268879,3.189486,1.885931,2.256588,2.673857,,2.731017,,1.885931,3.189486,,2.594364,,,,,2.558819,2.212148,2.154731,2.777077,2.684211,1.891732
134,Sierra Leone,2.460909,134,6.0,0.1536222,2.97922,1.876116,2.197953,2.714827,2.97922,,,2.56624,1.876116,,2.084189,,,,,2.558819,,2.700869,,,
143,Azerbaijan,2.375235,143,8.0,0.1949551,3.441543,1.922519,2.060979,2.713543,,,,2.236539,3.189486,1.922519,2.084189,,,,,1.950985,,2.154731,2.021888,3.441543,
143,Belarus,2.418323,143,4.0,0.0973716,2.56624,2.084189,2.274117,2.560674,,,,2.56624,,2.464046,2.084189,,,,,2.558819,,,,,
143,Comoros,2.410707,143,3.0,0.3736117,3.301163,1.776226,1.902394,2.919019,1.776226,,,,,,3.301163,,,,,,,2.154731,,,
143,Mauritania,2.427348,143,6.0,0.1842555,3.301163,1.992919,2.143523,2.745395,2.00972,,,2.56624,,,3.301163,,,,,,,2.154731,1.992919,2.539317,
143,Nigeria,2.449336,143,10.0,0.1437733,3.189486,1.901029,2.213846,2.688546,2.366238,,,3.089837,3.189486,,2.084189,,,,,1.950985,1.938191,2.700869,2.804655,1.901029,2.467885
143,Russia,2.448757,143,11.0,0.2228715,4.478443,1.876116,2.123635,2.849312,,,,2.236539,1.876116,1.922519,2.084189,2.219204,1.938191,,,2.558819,4.478443,,2.328067,2.06163,3.232607
