country,cpi11,stafdb2010beta,stadb2010beta,stbsgi2011beta,stbti2012beta,steiu2011beta,stfh2011beta,stgi2011beta,stimd2010beta,stimd2011beta,stperc2010beta,stperc2011beta,stprs2011beta,sttibpi2011beta,stwb2010beta,stwef2010beta,stwef2011beta,stwjp2011beta
Lithuania,4.692134,,,,6.026164,7.016278,4.440252,5.708071,4.989961,4.277887,,,2.487109,,,3.211491,4.071992,
Jordan,4.646528,,,,3.015495,3.114877,,4.349226,5.443125,5.479648,,,5.138973,,,4.40569,4.739752,6.13197
Kuwait,4.551208,,,,2.494478,3.114877,,7.49027,,,,,5.138973,,,4.662956,4.40569,
Czech Republic,4.52601,,,4.559409,5.378588,4.98848,5.155436,5.708071,3.737376,4.439329,,,3.60411,4.40569,,2.230368,3.087379,7.017887
Hungary,4.525287,,,4.559409,5.378588,7.016278,4.440252,5.708071,2.193892,3.376925,,,5.138973,5.443125,,2.518178,4.004465,
Malaysia,4.417317,,,,4.509154,3.114877,,3.226333,6.265306,5.443125,3.386768,4.381134,3.60411,2.704027,,4.609661,5.631345,6.13197
Namibia,4.359042,3.616206,,,4.270159,3.114877,,5.708071,,,,,5.138973,,,4.381134,4.283876,
Saudi Arabia,4.321366,,,,2.494478,3.114877,,4.349226,,,,,3.60411,,,8.044142,,
Turkey,4.296146,,,4.559409,4.509154,3.114877,,4.349226,5.320832,4.989961,,,3.60411,5.320832,,3.184088,4.210944,4.09418
South Africa,4.199192,4.707572,,,3.778042,4.98848,,3.226333,4.277887,3.386768,,,5.138973,3.245274,,3.44488,4.381134,5.615769
Italy,4.133442,,,3.824893,,3.114877,,3.226333,4.40569,4.662956,,,3.60411,,,3.378646,3.711749,7.271722
Latvia,4.129701,,,,4.509154,4.98848,4.440252,4.349226,,,,,2.487109,,,3.470731,4.662956,
Cuba,4.09232,,,,3.015495,4.98848,,3.226333,,,,,5.138973,,,,,
Croatia,4.070874,,,,4.509154,4.98848,3.590568,4.349226,3.378646,3.3392,,,5.138973,,,3.567423,3.407746,4.439329
Georgia,4.062078,,3.566566,,4.270159,,3.366548,2.52241,,,,,,,3.310459,5.443125,5.955276,
Brazil,3.953224,,,,4.833286,3.114877,,3.226333,2.731399,3.519331,,,5.138973,3.567423,,3.376925,3.379483,6.644208
Slovakia,3.931068,,,3.824893,5.378588,4.98848,4.440252,5.708071,3.377055,2.976299,,,3.60411,,,1.87207,3.140865,
Ghana,3.915675,4.707572,,,4.270159,4.98848,,4.349226,,,,,3.60411,2.583411,4.623294,2.534495,3.470731,4.025273
Montenegro,3.898719,,,,3.441622,,3.097984,2.52241,,,,,,,,5.441618,4.989961,
Macedonia,3.871138,,,,4.270159,3.114877,3.93618,3.226333,,,,,,,,4.283876,4.395401,
Samoa,3.805398,,3.566566,,,,,3.226333,,,,,,,4.623294,,,
Romania,3.749008,,,,4.833286,3.114877,3.93618,3.226333,3.3392,3.519331,,,3.60411,,,3.500125,3.095802,5.320832
China,3.724522,,,,2.167543,3.114877,,2.52241,3.567423,3.377055,4.381134,3.386768,2.487109,4.662956,,5.320832,4.263034,5.443125
Tunisia,3.708121,2.296039,,,2.167543,3.114877,,3.226333,,,,,3.60411,,,7.933586,3.61436,
Jamaica,3.599218,,,,3.015495,3.114877,,3.226333,,,,,2.487109,,,3.326097,3.892646,6.13197
El Salvador,3.587543,,,,3.778042,3.114877,,3.226333,,,,,3.60411,,,3.366548,3.176164,4.846726
Colombia,3.551674,,,,3.015495,3.114877,,3.226333,2.976299,4.609661,,,5.138973,,,2.454386,2.819381,4.609661
Morocco,3.522459,2.905255,,,2.167543,3.114877,,4.349226,,,,,5.138973,2.731399,,4.428263,,3.344135
Lesotho,3.4847,2.905255,,,3.441622,,,5.708071,,,,,,,3.310459,2.216696,3.326097,
Thailand,3.481554,,,,3.778042,3.114877,,3.226333,4.025273,3.860613,2.583411,3.114346,2.487109,,,3.083574,3.407746,5.615769
Vanuatu,3.461894,,2.049366,,,,,5.708071,,,,,,,2.628244,,,
Gambia,3.444646,1.712864,,,,,,2.52241,,,,,3.60411,,1.75402,5.631345,5.443125,
Peru,3.421916,,,,3.778042,3.114877,,3.226333,3.470731,4.025273,,,3.60411,,,2.29244,3.47628,3.809154
Bulgaria,3.371695,,,,5.378588,3.114877,3.93618,3.226333,3.114346,2.193892,,,2.487109,,,3.386768,3.356588,3.52227
Greece,3.3683,,,3.824893,,3.114877,,4.349226,4.381134,3.378646,,,2.487109,,,2.495199,2.915316,
Liberia,3.327297,4.283876,,,3.778042,,,2.52241,,,,,3.60411,,2.628244,,,3.147099
Serbia,3.270253,,,,4.270159,3.114877,3.590568,3.226333,,,,,2.487109,,,2.991235,3.211491,
Sri Lanka,3.244317,,2.049366,,3.015495,3.114877,,3.226333,,,,,3.60411,,2.628244,4.277887,4.038222,
Panama,3.22001,,,,3.015495,3.114877,,4.349226,,,,,2.487109,,,2.976299,3.377055,
India,3.142394,,,,3.778042,3.114877,,2.52241,3.386768,2.583411,3.376925,3.376925,2.487109,3.376925,3.310459,3.04031,3.020686,3.47628
Zambia,3.139185,3.616206,,,2.494478,3.114877,,2.52241,,,,,5.138973,,2.086576,2.760476,3.379483,
Albania,3.134573,,,,3.015495,3.114877,3.097984,2.52241,,,,,2.487109,,,3.892646,3.567423,3.378646
Bosnia and Herzegovina,3.132854,,,,3.441622,3.114877,3.470731,3.226333,,,,,,,2.628244,2.915316,,
Trinidad and Tobago,3.123266,,,,,3.114877,,4.349226,,,,,2.487109,,,2.285637,3.379483,
Argentina,3.097722,,,,3.441622,3.114877,,2.52241,3.376925,3.114346,,,3.60411,4.004465,,1.51161,2.4777,3.809154
Swaziland,3.083483,2.905255,,,,3.114877,,3.226333,,,,,,,,3.087379,3.083574,
Indonesia,3.077151,,,,2.494478,1.811336,,2.52241,3.737376,2.731462,2.193892,2.193892,5.138973,2.976299,,4.210944,3.105596,3.809154
Tonga,3.065003,,2.658218,,,,,3.226333,,,,,,,3.310459,,,
Burkina Faso,3.036146,4.707572,,,1.959513,,,2.52241,,,,,2.487109,,3.310459,3.245274,3.020686,
Madagascar,3.020101,1.712864,,,3.015495,,,3.226333,,,,,5.138973,,2.086576,3.377055,2.583411,
Suriname,3.015914,,,,,,,2.52241,,,,,2.487109,,,,4.038222,
Mexico,3.01479,,,2.976299,2.494478,3.114877,,3.226333,2.731462,3.470731,,,3.60411,2.21334,,2.611685,3.287864,3.431505
Kiribati,3.008945,,2.049366,,,,,4.349226,,,,,,,2.628244,,,
Malawi,2.954537,2.905255,,,3.778042,3.114877,,2.016812,,,,,2.487109,,2.628244,3.3392,3.366755,
Benin,2.95066,3.616206,,,3.015495,3.114877,,2.52241,,,,,,,3.310459,2.255792,2.819381,
Senegal,2.948108,2.905255,,,2.494478,3.114877,,2.016812,,,,,2.487109,3.114346,2.628244,3.860613,2.765164,4.09418
Bolivia,2.934397,,,,3.015495,,,3.226333,,,,,2.487109,,3.310459,2.583411,2.73809,3.179878
Sao Tome and Principe,2.912708,2.905255,,,,,,2.52241,,,,,,,3.310459,,,
Djibouti,2.910614,2.296039,,,,,,4.349226,,,,,,,2.086576,,,
Gabon,2.910264,2.905255,,,,3.114877,,2.016812,,,,,3.60411,,,,,
Viet Nam,2.903388,,3.566566,,2.167543,1.811336,,2.016812,,,3.114346,2.583411,3.60411,,2.628244,3.105596,3.176164,4.163132
Tanzania,2.903028,2.905255,,,3.015495,3.114877,,2.016812,,,,,3.60411,,2.086576,3.114346,3.366755,
Algeria,2.888307,2.905255,,,3.015495,3.114877,,3.226333,,,,,2.487109,,,3.095802,2.37328,
Moldova,2.856239,,,,3.441622,3.114877,2.39304,3.226333,,,,,2.487109,,2.628244,2.518381,3.04031,
Egypt,2.851553,2.296039,,,2.494478,3.114877,,2.52241,,,,,2.487109,,,4.025273,3.020686,
Guatemala,2.849524,,,,3.441622,3.114877,,2.016812,,,,,2.487109,,,2.150382,2.731399,4.004465
Iran,2.796416,,,,1.821018,1.811336,,2.016812,,,,,1.885217,,,3.61436,4.263034,4.163132
Kosovo,2.778098,,,,3.015495,,2.690554,,,,,,,,2.628244,,,
Bangladesh,2.758012,,3.566566,,2.167543,1.811336,,2.016812,,,,,5.138973,,2.628244,1.872588,2.275909,3.344135
Mali,2.748205,2.905255,,,3.015495,,,3.226333,,,,,2.487109,,3.310459,1.826741,2.466041,
Philippines,2.747229,,,,3.015495,1.811336,,2.52241,1.775066,2.731399,2.518381,2.518381,2.487109,4.381134,,1.835913,2.523401,4.846726
Ethiopia,2.743717,2.296039,,,1.959513,3.114877,,2.016812,,,,,2.487109,,2.086576,3.566785,3.356588,3.809154
Kazakhstan,2.72638,,,,2.167543,1.811336,1.857119,1.444618,4.71355,4.381134,,,1.885217,,,2.467746,,3.809154
Dominican Republic,2.700824,,,,2.494478,3.114877,,3.226333,,,,,2.487109,,,1.775066,2.285637,3.52227
Mozambique,2.670046,1.943219,,,2.167543,3.114877,,2.52241,,,,,2.487109,,2.628244,3.47628,3.020686,
Ecuador,2.655339,,,,2.494478,1.811336,,2.52241,,,,,3.60411,,,2.523401,2.976299,
Mongolia,2.646972,,2.658218,,2.494478,3.114877,,3.226333,,,,,2.487109,,2.628244,2.04573,2.520789,
Solomon Islands,2.634648,,2.049366,,,,,3.226333,,,,,,,2.628244,,,
Lebanon,2.596518,,,,1.959513,3.114877,,2.52241,,,,,2.487109,,,1.982159,2.495199,3.61436
Armenia,2.595604,,2.049366,,3.441622,,2.73809,2.52241,,,,,1.885217,,2.628244,2.35902,3.140865,
Pakistan,2.573751,,2.658218,,1.821018,3.114877,,2.52241,,,,,2.487109,2.193892,2.086576,2.704027,3.035493,3.113886
Cameroon,2.562191,2.905255,,,2.167543,1.811336,,2.016812,,,,,3.60411,,2.086576,2.832949,2.520789,3.114346
Syria,2.558021,,,,1.821018,3.114877,,2.52241,,,,,2.487109,,,2.637545,2.765164,
Nigeria,2.551247,2.296039,,,3.015495,3.114877,,2.016812,,,,,1.885217,2.143397,2.628244,2.731462,2.249422,3.431505
Uganda,2.540778,2.296039,,,3.015495,3.114877,,2.016812,,,,,2.487109,,2.086576,2.006998,2.466041,3.377055
Honduras,2.534694,,,,2.494478,1.811336,,2.016812,,,,,2.487109,,2.628244,2.73809,3.566785,
Russia,2.509908,,,,2.167543,1.811336,1.857119,2.016812,2.150382,1.872588,,,2.487109,4.439329,,2.258207,2.454386,4.09418
Nicaragua,2.50271,,,,2.167543,1.811336,,2.52241,,,,,3.60411,,2.086576,2.7925,2.534495,
Guyana,2.493008,,,,,,,2.52241,,,,,2.487109,,2.086576,2.731399,2.637545,
Niger,2.469481,2.296039,,,3.015495,,,2.52241,,,,,1.885217,,2.628244,,,
Mauritania,2.418363,1.943219,,,2.494478,,,3.226333,,,,,,,2.086576,1.926624,2.832949,
Eritrea,2.409282,1.712864,,,1.821018,,,4.349226,,,,,,,1.75402,,,
Maldives,2.400007,,2.049366,,,,,2.52241,,,,,,,2.628244,,,
Sierra Leone,2.390539,2.905255,,,2.494478,1.811336,,2.016812,,,,,2.487109,,2.628244,,,
Ukraine,2.385378,,,,2.167543,1.811336,2.690554,2.52241,2.583411,1.775066,,,2.487109,,,1.994513,2.4777,3.344135
Kenya,2.354256,2.296039,,,2.494478,1.811336,,1.444618,,,,,2.487109,,2.628244,2.234915,2.611685,3.179878
Belarus,2.34786,,,,2.494478,,2.39304,2.016812,,,,,2.487109,,,,,
Timor-Leste,2.345971,,1.458449,,,,,2.016812,,,,,,,2.628244,2.249422,3.376925,
Comoros,2.341924,1.712864,,,,,,3.226333,,,,,,,2.086576,,,
Togo,2.311936,2.296039,,,2.167543,,,2.52241,,,,,2.487109,,2.086576,,,
Azerbaijan,2.308769,,,,2.167543,3.114877,1.857119,2.016812,,,,,1.885217,,2.086576,1.95524,3.386768,
Kyrgyzstan,2.288234,,2.049366,,1.959513,,2.183513,2.52241,,,,,,,2.086576,2.144059,2.21334,3.147099
Tajikistan,2.246781,,2.049366,,1.423277,,2.183513,1.444618,,,,,,,1.75402,3.012062,3.860613,
Côte d´Ivoire,2.216595,2.296039,,,1.821018,3.114877,,2.016812,,,,,2.487109,,1.75402,2.00797,2.234915,
Paraguay,2.216005,,,,3.015495,1.811336,,2.016812,,,,,1.885217,,,2.193892,2.37328,
Nepal,2.20405,,2.658218,,1.959513,,,2.016812,,,,,,,2.086576,1.985005,2.518178,
Cambodia,2.200486,,2.658218,,1.423277,1.811336,,2.016812,,,1.835913,1.835913,,,1.75402,2.275909,3.287864,3.105596
Zimbabwe,2.172834,1.419555,,,1.423277,3.114877,,2.016812,,,,,0.8848619,,1.311418,3.711749,3.500125,
Laos,2.145656,,2.658218,,1.821018,,,2.016812,,,,,,,2.086576,,,
Central African Republic,2.141743,2.296039,,,2.167543,,,2.016812,,,,,,,2.086576,,,
Guinea-Bissau,2.133429,1.943219,,,,,,2.016812,,,,,2.487109,,2.086576,,,
Yemen,2.127212,,,,2.167543,1.811336,,2.016812,,,,,2.487109,,2.086576,,2.193892,
Papua New Guinea,2.098036,,2.049366,,2.167543,1.811336,,1.444618,,,,,2.487109,,2.628244,,,
Congo  Republic,2.086482,2.296039,,,1.821018,1.811336,,2.016812,,,,,2.487109,,2.086576,,,
Guinea,2.042984,2.296039,,,2.494478,1.811336,,2.016812,,,,,1.885217,,1.75402,,,
Chad,2.029891,1.943219,,,1.959513,,,2.016812,,,,,,,1.75402,2.21334,2.29244,
Angola,1.995955,1.943219,,,1.821018,1.811336,,1.444618,,,,,2.487109,,2.086576,2.143397,2.230368,
Venezuela,1.991328,,,,1.423277,1.811336,,2.016812,1.872588,2.150382,,,1.320891,,,1.681696,2.258207,3.386768
Burundi,1.959469,1.712864,,,2.167543,,,1.444618,,,,,,,1.75402,2.461075,2.216696,
Congo Democratic Republic,1.954621,2.296039,,,1.821018,,,2.016812,,,,,1.885217,,1.75402,,,
Libya,1.94844,1.712864,,,2.167543,1.811336,,2.52241,,,,,1.885217,,,1.591269,,
Equatorial Guinea,1.847004,1.712864,,,,1.811336,,2.016812,,,,,,,,,,
Haiti,1.813478,,,,1.959513,,,1.444618,,,,,1.320891,,2.086576,,2.255792,
Iraq,1.740547,,,,1.821018,1.811336,,1.444618,,,,,1.885217,,,,,
Uzbekistan,1.564019,,1.458449,,1.423277,1.811336,1.362822,2.016812,,,,,,,1.311418,,,
Turkmenistan,1.542819,,,,1.821018,,1.362822,1.444618,,,,,,,,,,
Sudan,1.504067,1.712864,,,1.423277,1.811336,,1.444618,,,,,1.320891,,1.311418,,,
Afghanistan,1.458286,,1.458449,,1.176059,,,1.444618,,,,,,,1.75402,,,
Myanmar,1.433939,,,,0.5945873,1.811336,,1.444618,,,,,1.885217,,,,,
Somalia,1.061239,0.8848619,,,0.5945873,,,1.444618,,,,,1.320891,,,,,
North Korea,0.9638641,,,,1.176059,,,0.3946429,,,,,1.320891,,,,,
